lecture,slide_id,triples_total,ocr_evidenced_triples_total,ocr_evidenced_rate
Lecture 14,Slide36,2,2,1.000000
Lecture 18,Slide37,2,2,1.000000
Lecture 2,Slide12,2,2,1.000000
Lecture 20,Slide15,2,2,1.000000
Lecture 20,Slide3,2,2,1.000000
Lecture 23,Slide29,2,2,1.000000
Lecture 13,Slide10,1,1,1.000000
Lecture 13,Slide16,1,1,1.000000
Lecture 16,Slide40,1,1,1.000000
Lecture 2,Slide38,1,1,1.000000
Lecture 21,Slide3,1,1,1.000000
Lecture 21,Slide35,1,1,1.000000
Lecture 22,Slide39,1,1,1.000000
Lecture 23,Slide10,1,1,1.000000
Lecture 5,Slide34,1,1,1.000000
Lecture 7,Slide1,1,1,1.000000
Lecture 7,Slide23,1,1,1.000000
Lecture 18,Slide46,3,2,0.666667
Lecture 2,Slide13,3,2,0.666667
Lecture 2,Slide17,3,2,0.666667
Lecture 2,Slide23,3,2,0.666667
Lecture 11,Slide54,2,1,0.500000
Lecture 11,Slide58,2,1,0.500000
Lecture 12,Slide17,2,1,0.500000
Lecture 12,Slide8,2,1,0.500000
Lecture 14,Slide30,2,1,0.500000
Lecture 14,Slide47,2,1,0.500000
Lecture 15,Slide10,2,1,0.500000
Lecture 15,Slide19,2,1,0.500000
Lecture 17,Slide11,2,1,0.500000
Lecture 17,Slide13,2,1,0.500000
Lecture 17,Slide48,2,1,0.500000
Lecture 18,Slide20,2,1,0.500000
Lecture 18,Slide24,2,1,0.500000
Lecture 18,Slide25,2,1,0.500000
Lecture 18,Slide35,2,1,0.500000
Lecture 18,Slide5,2,1,0.500000
Lecture 18,Slide52,2,1,0.500000
Lecture 19,Slide36,2,1,0.500000
Lecture 19,Slide38,2,1,0.500000
Lecture 20,Slide44,2,1,0.500000
Lecture 20,Slide47,2,1,0.500000
Lecture 20,Slide48,2,1,0.500000
Lecture 22,Slide24,2,1,0.500000
Lecture 22,Slide26,2,1,0.500000
Lecture 22,Slide41,2,1,0.500000
Lecture 22,Slide7,2,1,0.500000
Lecture 23,Slide31,2,1,0.500000
Lecture 4,Slide23,2,1,0.500000
Lecture 4,Slide34,2,1,0.500000
Lecture 8,Slide9,2,1,0.500000
Lecture 11,Slide37,3,1,0.333333
Lecture 14,Slide34,3,1,0.333333
Lecture 14,Slide6,3,1,0.333333
Lecture 14,Slide8,3,1,0.333333
Lecture 16,Slide37,3,1,0.333333
Lecture 16,Slide51,3,1,0.333333
Lecture 16,Slide9,3,1,0.333333
Lecture 17,Slide19,3,1,0.333333
Lecture 18,Slide42,3,1,0.333333
Lecture 2,Slide14,3,1,0.333333
Lecture 2,Slide22,3,1,0.333333
Lecture 20,Slide13,3,1,0.333333
Lecture 21,Slide10,3,1,0.333333
Lecture 22,Slide40,3,1,0.333333
Lecture 22,Slide42,3,1,0.333333
Lecture 23,Slide21,3,1,0.333333
Lecture 4,Slide30,3,1,0.333333
Lecture 8,Slide24,3,1,0.333333
Lecture 11,Slide4,4,1,0.250000
Lecture 15,Slide26,4,1,0.250000
Lecture 16,Slide41,4,1,0.250000
Lecture 20,Slide27,4,1,0.250000
Lecture 20,Slide4,4,1,0.250000
Lecture 7,Slide4,4,1,0.250000
Lecture 9,Slide14,4,1,0.250000
Lecture 22,Slide19,5,1,0.200000
Lecture 11,Slide64,6,1,0.166667
Lecture 16,Slide48,7,1,0.142857
Lecture 16,Slide32,8,0,0.000000
Lecture 1,Slide10,7,0,0.000000
Lecture 11,Slide36,6,0,0.000000
Lecture 15,Slide13,6,0,0.000000
Lecture 16,Slide22,6,0,0.000000
