lecture,slide_id,slide_json,has_text,models_count,concepts_total,concepts_not_in_text,triples_total,triples_with_image_modality,triple_entities_not_in_text,img_modality_rate,not_in_text_rate,image_heavy_score
Lecture 19,Slide43,Lecture 19\Slide43.json,1,5,3,3,1,1,1,1.0,1.0,1.0
Lecture 19,Slide53,Lecture 19\Slide53.json,1,5,2,2,1,1,1,1.0,1.0,1.0
Lecture 19,Slide38,Lecture 19\Slide38.json,1,5,3,2,2,2,1,1.0,0.6,0.88
Lecture 17,Slide22,Lecture 17\Slide22.json,1,5,4,1,2,2,2,1.0,0.5,0.85
Lecture 13,Slide10,Lecture 13\Slide10.json,1,5,3,1,1,1,1,1.0,0.5,0.85
Lecture 19,Slide14,Lecture 19\Slide14.json,1,5,3,1,1,1,1,1.0,0.5,0.85
Lecture 19,Slide7,Lecture 19\Slide7.json,1,5,3,1,1,1,1,1.0,0.5,0.85
Lecture 5,Slide11,Lecture 5\Slide11.json,1,5,3,1,1,1,1,1.0,0.5,0.85
Lecture 5,Slide20,Lecture 5\Slide20.json,1,5,3,1,1,1,1,1.0,0.5,0.85
Lecture 5,Slide22,Lecture 5\Slide22.json,1,5,3,2,1,1,0,1.0,0.5,0.85
Lecture 5,Slide25,Lecture 5\Slide25.json,1,5,3,2,1,1,0,1.0,0.5,0.85
Lecture 21,Slide34,Lecture 21\Slide34.json,1,5,4,1,3,3,2,1.0,0.4286,0.8286
Lecture 5,Slide10,Lecture 5\Slide10.json,1,5,3,1,2,2,1,1.0,0.4,0.82
Lecture 17,Slide37,Lecture 17\Slide37.json,1,5,4,1,1,1,1,1.0,0.4,0.82
Lecture 7,Slide40,Lecture 7\Slide40.json,1,5,4,2,1,1,0,1.0,0.4,0.82
Lecture 5,Slide43,Lecture 5\Slide43.json,1,5,2,0,1,1,1,1.0,0.3333,0.8
Lecture 10,Slide47,Lecture 10\Slide47.json,1,5,3,1,1,1,0,1.0,0.25,0.775
Lecture 13,Slide19,Lecture 13\Slide19.json,1,5,3,0,1,1,1,1.0,0.25,0.775
Lecture 13,Slide23,Lecture 13\Slide23.json,1,5,3,1,1,1,0,1.0,0.25,0.775
Lecture 19,Slide21,Lecture 19\Slide21.json,1,5,3,0,1,1,1,1.0,0.25,0.775
Lecture 19,Slide27,Lecture 19\Slide27.json,1,5,3,1,1,1,0,1.0,0.25,0.775
Lecture 19,Slide41,Lecture 19\Slide41.json,1,5,3,1,1,1,0,1.0,0.25,0.775
Lecture 19,Slide49,Lecture 19\Slide49.json,1,5,11,2,1,1,1,1.0,0.25,0.775
Lecture 19,Slide51,Lecture 19\Slide51.json,1,5,3,0,1,1,1,1.0,0.25,0.775
Lecture 19,Slide9,Lecture 19\Slide9.json,1,5,3,0,1,1,1,1.0,0.25,0.775
Lecture 5,Slide19,Lecture 5\Slide19.json,1,5,3,1,1,1,0,1.0,0.25,0.775
Lecture 6,Slide12,Lecture 6\Slide12.json,1,5,3,0,1,1,1,1.0,0.25,0.775
Lecture 5,Slide49,Lecture 5\Slide49.json,1,5,3,0,2,2,1,1.0,0.2,0.76
Lecture 6,Slide35,Lecture 6\Slide35.json,1,5,3,0,2,2,1,1.0,0.2,0.76
Lecture 23,Slide47,Lecture 23\Slide47.json,1,5,4,1,1,1,0,1.0,0.2,0.76
Lecture 16,Slide45,Lecture 16\Slide45.json,1,5,4,0,2,2,1,1.0,0.1667,0.75
Lecture 9,Slide6,Lecture 9\Slide6.json,1,5,4,0,2,2,1,1.0,0.1667,0.75
Lecture 22,Slide18,Lecture 22\Slide18.json,1,5,10,1,3,3,1,1.0,0.1538,0.7462
Lecture 22,Slide38,Lecture 22\Slide38.json,1,5,4,1,3,3,0,1.0,0.1429,0.7429
Lecture 22,Slide6,Lecture 22\Slide6.json,1,5,4,1,3,3,0,1.0,0.1429,0.7429
Lecture 23,Slide37,Lecture 23\Slide37.json,1,5,4,1,3,3,0,1.0,0.1429,0.7429
Lecture 11,Slide47,Lecture 11\Slide47.json,1,5,12,2,3,3,0,1.0,0.1333,0.74
Lecture 19,Slide45,Lecture 19\Slide45.json,1,5,13,1,2,2,1,1.0,0.1333,0.74
Lecture 23,Slide10,Lecture 23\Slide10.json,1,5,14,1,1,1,1,1.0,0.1333,0.74
Lecture 19,Slide31,Lecture 19\Slide31.json,1,5,7,1,1,1,0,1.0,0.125,0.7375
Lecture 4,Slide31,Lecture 4\Slide31.json,1,5,17,1,1,1,1,1.0,0.1111,0.7333
Lecture 19,Slide6,Lecture 19\Slide6.json,1,5,8,1,2,2,0,1.0,0.1,0.73
Lecture 1,Slide36,Lecture 1\Slide36.json,1,5,19,1,1,1,1,1.0,0.1,0.73
Lecture 11,Slide11,Lecture 11\Slide11.json,1,5,9,1,1,1,0,1.0,0.1,0.73
Lecture 13,Slide46,Lecture 13\Slide46.json,1,5,9,1,1,1,0,1.0,0.1,0.73
Lecture 9,Slide27,Lecture 9\Slide27.json,1,5,8,1,3,3,0,1.0,0.0909,0.7273
Lecture 13,Slide39,Lecture 13\Slide39.json,1,5,10,0,1,1,1,1.0,0.0909,0.7273
Lecture 1,Slide39,Lecture 1\Slide39.json,1,5,13,0,1,1,1,1.0,0.0714,0.7214
Lecture 23,Slide2,Lecture 23\Slide2.json,1,5,13,1,1,1,0,1.0,0.0714,0.7214
Lecture 6,Slide38,Lecture 6\Slide38.json,1,5,13,0,1,1,1,1.0,0.0714,0.7214
Lecture 10,Slide14,Lecture 10\Slide14.json,1,5,14,1,2,2,0,1.0,0.0625,0.7188
Lecture 15,Slide6,Lecture 15\Slide6.json,1,5,16,0,3,3,0,1.0,0.0,0.7
Lecture 20,Slide7,Lecture 20\Slide7.json,1,5,4,0,3,3,0,1.0,0.0,0.7
Lecture 13,Slide37,Lecture 13\Slide37.json,1,5,8,0,2,2,0,1.0,0.0,0.7
Lecture 13,Slide49,Lecture 13\Slide49.json,1,5,3,0,2,2,0,1.0,0.0,0.7
Lecture 13,Slide6,Lecture 13\Slide6.json,1,5,5,0,2,2,0,1.0,0.0,0.7
Lecture 17,Slide24,Lecture 17\Slide24.json,1,5,4,0,2,2,0,1.0,0.0,0.7
Lecture 19,Slide13,Lecture 19\Slide13.json,1,5,5,0,2,2,0,1.0,0.0,0.7
Lecture 19,Slide20,Lecture 19\Slide20.json,1,5,16,0,2,2,0,1.0,0.0,0.7
Lecture 19,Slide50,Lecture 19\Slide50.json,1,5,3,0,2,2,0,1.0,0.0,0.7
Lecture 23,Slide30,Lecture 23\Slide30.json,1,5,8,0,2,2,0,1.0,0.0,0.7
